product_code,lot_number,expiry_date
5055331322517,83065,2026-05-06
3PR01214,0011760736,2026-08-31
3PR01252,0041688484,2030-01-10
3PR00463,0011740490,2026-06-30
5055331303776,83195,2026-08-13
3PR00063,0011765983,2026-08-31
5055331304483,82359,2026-06-11
5055331324719,83047,2026-08-06
3PR02433,0041702962,2025-09-30
5055331304254,84087,2027-10-08
5055331304254,83738,2027-09-17
5055331304254,84615,2027-11-19
5055331318039,84755,2027-11-26
5055331304612,84011,2027-10-01
5055331304612,84634,2027-11-19
5055331318039,85716,2028-01-29
